trade_id,isin,trade_date,settlement_date,asset_class,notional_eur,price,quantity,bid,ask,mid_price,volume_j,volatility_30d,credit_rating,default_flag,sector,country_risk,volatility_30d_outlier_flag,volume_j_outlier_flag,settlement_date_was_missing,credit_rating_was_missing,bid_was_missing,ask_was_missing,volatility_30d_was_missing,country_risk_was_missing,asset_class_was_missing,counterparty_name_hash,trader_id_hash,counterparty_id_hash
TRD008598,FR0000000147,2024-05-21,2024-05-23,equity,13099468.19,734.8518,17826,732.63,735.7327,734.18135,1293300,36.32,bbb,0,technology,44.2,0,0,0,0,0,0,0,0,0,97e1c0457e3e8b2b9f0bdeff5f92cc3a4d8f87e1107f07e95c0edc2eae5c87ff,38daa8d89fe1d9f21079970e6ae7dac825d1fa942ff926a8a71875dfc3adf1ce,5d1a2ec01a0df27c2da7a3815506fcb046381b57a73e615afcba920664259dd1
TRD007404,FR0000000072,2024-06-18,2024-06-20,equity,22249338.97,546.5728,40707,546.44,546.7483,546.59415,4783887,34.95,a,0,technology,27.6,0,0,0,0,0,0,0,0,0,b529f7600e41e497182f7870990af3945f515807bc5fd28c6bcbd34485dc5bcb,c29a13dd73dd8feb3fce9d6c67121a4f33c1022870cdee4281ffc289d11e76d1,514ac77a4966fbd19c75f018b26c7739b2466f589aad7495964acb12df8e80a5
TRD005614,FR0000000027,2024-01-08,2024-01-10,bond,1415609.21,94.3425,15005,94.2714,94.4846,94.378,1868621,53.29,bb,0,healthcare,44.3,0,0,0,0,0,0,0,0,0,271d62662f4dc519d03c6a590e5833e7a4d5a9d78d6c2284ced8ad0ee172e661,45a247caf6b192048a6434d2318c250d6f6f665aca69d9f70c33ec5f5317627c,321ceeae9fb5cec6af828b7dac6f1001ed8910031e1e4dd4235432cc6815290c
TRD000800,FR0000000126,2024-05-03,2024-05-06,derivative,286083.83,16.452,17389,16.4346,16.4969,16.46575,2043199,45.51,a,0,healthcare,40.8,0,0,0,0,0,0,1,0,0,42194dc6bc24df88486c63ae655c44a464ba088043446f94642f5bcfd2db35fb,3927c8f9af6ca5e06bf482897ff3f83d2dadb8c0094ee9671ff4ce64b2b0351e,cfdf1716a4bfe3e39d22a4ba8621fddbad2f130a873e4acd7ee8be4be9e056a8
TRD006822,FR0000000131,2024-04-08,2024-04-10,derivative,901694.66,37.5159,24035,37.4778,37.6039,37.54085,1664320,45.51,a,0,financials,43.1,0,0,0,0,0,0,1,0,0,f910def6426247ee203ac62a2113e30a0f15b621b0667db7df59f8002609f66c,9dd731a3ff75f242aa3346bd03e7b3e4495692e3d9fa5368a3b185e46b270db6,4772c6c4b2e3a88e8065298a4e3ca0c9e02c4bf6e1642bffce0dac2c1bacafc3
TRD005873,FR0000000122,2024-06-21,2024-06-24,derivative,295360.85,6.823,43289,6.8196,6.8296,6.8246,2008643,14.77,b,0,industrials,15.5,0,0,0,0,0,0,0,0,0,cdfd0c25ff6b3986359e609239ade036ae7603bff3e28c691214ae4c00b5cf12,761210ee2e9f1afa3b5bfa392cbb5ff5b316c5af8c5da7109fa281cf5782b966,3c53042b6c9e396b93789b3d95014139171f0968131bd6d417169dae000b66f2
TRD003399,FR0000000020,2024-02-20,2024-02-22,derivative,304842.25,8.6048,35427,8.5942,8.6086,8.6014,2737737,44.36,bbb,0,energy,26.4,0,0,0,0,0,0,0,0,0,67f724dfa4e67952799e9bf288a7e323263b68a67d7dcbaa1aa97a9c6dfbb82c,5f00f85bea91d353a893e75a16d36a1f4a32658fcf56b16c569931ae0dce1a9b,02224dee630e1df74793ca858299741da2ef3803e6785a7360e9e749ed40e3c0
TRD004342,FR0000000101,2024-06-28,2024-07-01,fx,10032.87,0.9252,10844,0.92495,0.9255,0.925225,2078564,49.77,aa,0,financials,22.7,0,0,0,0,0,0,0,0,0,6ba3aef6f74d87238d327c5acdc4a258a626050c05733937835d2b9e0c98893d,2f234f032c18ad31a8e69a13526f20fed513bdcd1e868e59e4c686042f6a56d3,1dc0f52afc63d4704fec7eb1d3ad9b645230abc9c6ac56a548e1991c9def7529
TRD008365,FR0000000099,2024-05-07,2024-05-09,bond,4974605.24,111.346,44677,111.168,111.6471,111.40755,1624573,77.27,bb,1,financials,41.8,0,0,0,0,0,0,0,0,0,cea9e6f2335c6997497557b68030c92dd02185be4ea229136aaac93d9f875dc2,28c28463a46f74365f6985508b1f8fff05ea4b0ee2f3b96831e54fb15ec6b188,333fc0a5a5762840832635cf1e55f2ce92ab1eb7f5826361472b3238b4d9fb13
TRD007092,FR0000000095,2024-01-08,2024-01-10,fx,10670.15,1.1284,9456,1.12798,1.1289,1.12844,2755587,56.77,nr,0,financials,36.7,0,0,0,1,0,0,0,0,0,f910def6426247ee203ac62a2113e30a0f15b621b0667db7df59f8002609f66c,f0b16c34cbd1fe44607b2a2a0e2f8e6f09eefa52f5beac70615e94b14293678c,4772c6c4b2e3a88e8065298a4e3ca0c9e02c4bf6e1642bffce0dac2c1bacafc3
TRD003257,FR0000000093,2024-01-16,2024-01-18,equity,29282712.71790002,782.4262,43745,779.39,783.0106,781.2003,1472045,31.07,b,1,industrials,11.9,0,0,0,0,0,0,0,0,0,cdfd0c25ff6b3986359e609239ade036ae7603bff3e28c691214ae4c00b5cf12,f0b16c34cbd1fe44607b2a2a0e2f8e6f09eefa52f5beac70615e94b14293678c,3c53042b6c9e396b93789b3d95014139171f0968131bd6d417169dae000b66f2
TRD005099,FR0000000016,2024-05-28,2024-05-30,bond,2087253.21,109.6592,19034,109.577,109.7013,109.63915,3283000,8.61,bb,0,technology,66.5,0,0,0,0,0,0,0,0,0,eba48b362aec6f28e77dbdbcca0853d05ab088cb49e37b08fbcb260705efacff,28c28463a46f74365f6985508b1f8fff05ea4b0ee2f3b96831e54fb15ec6b188,ad68dc86721e93fb3a7afc896c88ab8091499a3cbcff6b6b4baa96c14f0b9177
TRD004514,FR0000000102,2024-05-06,2024-05-08,fx,15029.6,1.1039,13615,1.101732,1.1062,1.103966,2245484,7.08,d,1,technology,16.8,0,0,0,0,0,0,0,0,0,9f35de8e44ea372b5e7515c5c3bcb7f9669bb862406294cc1fb85261285fc3ed,f0b16c34cbd1fe44607b2a2a0e2f8e6f09eefa52f5beac70615e94b14293678c,77efb69b8aefc1fa218c505b9447765990db987b81c30f70c4a518ec2c70c4a0
TRD008173,FR0000000095,2024-05-29,2024-05-31,bond,2655484.97,87.6282,30304,87.4321,87.7128,87.57245,2364815,9.29,bbb,0,industrials,54.9,0,0,0,0,0,0,0,0,0,a9b9873f97332de9460e354e9122b0936a54f36e01e04c10e3132c70bce98c86,f0b16c34cbd1fe44607b2a2a0e2f8e6f09eefa52f5beac70615e94b14293678c,16ff224346724402a1fd9877dc28dfcd38324ca51ae85eeeb007ef9188d69030
TRD000802,FR0000000080,2024-05-13,2024-05-15,fx,10862.39,1.2597,8623,1.258703,1.2641,1.261401,4317248,22.5,bb,0,financials,53.8,0,0,0,0,0,0,0,0,0,6889444dd18e9fc5cde5c8ad799e66d31af402594f71151b9f832a8739d968d4,fb06d9cf4462b4526ffe0bce528af4a3c0a1df1c64f283cc09ba4b35a2152220,1c62be0806f85e36a48bf75837ce03c8b51c5b2eed0cca7bb4e0bd3bf5e32336
TRD004502,FR0000000113,2024-03-26,2024-03-28,derivative,1591236.72,44.9845,35373,44.8815,45.0558,44.96865,4237574,23.58,b,0,industrials,14.0,0,0,0,0,0,0,0,0,0,cdfd0c25ff6b3986359e609239ade036ae7603bff3e28c691214ae4c00b5cf12,2c583c5e437aeb30a4b7e240da5fc09375afe5f1a64c13142f970b7ffe12b06a,3c53042b6c9e396b93789b3d95014139171f0968131bd6d417169dae000b66f2
TRD002630,FR0000000091,2024-04-03,2024-04-05,bond,400254.13,96.1456,4163,96.048,96.2398,96.1439,2776020,45.62,d,0,utilities,40.8,0,0,0,0,0,0,0,0,0,9fd40a8a7e0d00a05dc85af8cf6224e5456d399ed37c09efbaaa3298366ebb8c,0154091366bc155c6e8f4399ee20e439f61c6180df4a4f84860795aa854b205a,d9b02546d07ca78c94217a6337cb3759de30b87e5cf4fa96be4a9a20fc49c0ee
TRD000641,FR0000000135,2024-03-18,2024-03-20,equity,8003524.06,371.9974,21515,371.91,372.7129,372.31145,938987,45.51,a,0,healthcare,37.8,0,0,0,0,0,0,1,0,0,42194dc6bc24df88486c63ae655c44a464ba088043446f94642f5bcfd2db35fb,2f234f032c18ad31a8e69a13526f20fed513bdcd1e868e59e4c686042f6a56d3,cfdf1716a4bfe3e39d22a4ba8621fddbad2f130a873e4acd7ee8be4be9e056a8
TRD003613,FR0000000145,2024-02-12,2024-02-14,equity,28084606.71,692.0459,40582,691.84,692.9998,692.4199,4749941,66.11,ccc,0,financials,37.0,0,0,0,0,0,0,0,0,0,cea9e6f2335c6997497557b68030c92dd02185be4ea229136aaac93d9f875dc2,72906a7176a3a0dc0a78c45f015b2eafe3e556725cecd30ce641954f182b24b4,8163d124a5114cd5b1107d22548026ab98c5ed945adb0aef7ba007f447312e3a
TRD005084,FR0000000094,2024-04-03,2024-04-05,equity,17961153.64,359.7411,49928,359.47,360.5988,360.0344,1083216,45.51,bb,0,financials,57.1,0,0,0,0,0,0,1,0,0,6889444dd18e9fc5cde5c8ad799e66d31af402594f71151b9f832a8739d968d4,0154091366bc155c6e8f4399ee20e439f61c6180df4a4f84860795aa854b205a,1c62be0806f85e36a48bf75837ce03c8b51c5b2eed0cca7bb4e0bd3bf5e32336
TRD003108,FR0000000106,2024-04-11,2024-04-15,fx,68127.52,1.3833,49250,1.382768,1.3852,1.383984,2441278,12.21,aa,0,energy,8.3,0,0,0,0,0,0,0,0,0,f73862ddfb5ee6f5b4354868585772cac6fcfbc2c7617c3e6aa8ae1501148dd8,72906a7176a3a0dc0a78c45f015b2eafe3e556725cecd30ce641954f182b24b4,6d6e82c693ecb124dc79362ccdfa40f80588c7281cf48775c6d64fbada750585
TRD004393,FR0000000089,2024-01-15,2024-01-17,equity,12056691.97,279.95445,43057,279.37,280.5389,279.95445,514854,80.71,bbb,0,technology,36.5,0,0,0,0,0,0,0,0,0,68735d74b63994eb6a3c5c57f2bdad4ecfc3ecfdf0ca341a9d02d96740d6888b,c3ceb27c17de4a6b0a59652c6e97db1d84697a31c19298a1a9f4e7dc7b72d18a,636e978d6dce47dc89903c81489d40107e95b2a4c0716f1a039c9e38989a652e
TRD004483,FR0000000060,2024-03-25,2024-03-27,bond,3023503.6,92.2081,32790,91.9784,92.4366,92.2075,2079009,66.27,a,0,technology,56.1,0,0,0,0,0,0,0,0,0,db06d340b4e8e68ffca7d87898df665bc80010bba6b9d7d3796fb999a29c4f8b,9dd731a3ff75f242aa3346bd03e7b3e4495692e3d9fa5368a3b185e46b270db6,1819fe77d699b2de13c73a0046e8ac9e1172bcf649a1fa187a7e462241714b00
TRD000223,FR0000000079,2024-06-18,2024-06-20,equity,710243.05,176.4579,4025,176.08,176.947,176.5135,378262,82.8,bbb,0,industrials,51.6,0,0,0,0,0,0,0,0,0,a9b9873f97332de9460e354e9122b0936a54f36e01e04c10e3132c70bce98c86,72906a7176a3a0dc0a78c45f015b2eafe3e556725cecd30ce641954f182b24b4,16ff224346724402a1fd9877dc28dfcd38324ca51ae85eeeb007ef9188d69030
TRD001961,FR0000000056,2024-03-15,2024-03-18,bond,4424481.37,107.3252,41225,107.287,107.3806,107.3338,643077,42.5,d,1,utilities,42.9,0,0,0,0,0,0,0,0,0,9fd40a8a7e0d00a05dc85af8cf6224e5456d399ed37c09efbaaa3298366ebb8c,0154091366bc155c6e8f4399ee20e439f61c6180df4a4f84860795aa854b205a,d9b02546d07ca78c94217a6337cb3759de30b87e5cf4fa96be4a9a20fc49c0ee
TRD002596,FR0000000120,2024-06-10,2024-06-12,fx,25758.88,0.9466,27212,0.943921,0.9478,0.94586,2864909,45.51,bbb,0,technology,59.9,0,0,0,0,0,0,1,0,0,50e3f0170f50790b0ca934ffac1698cc2a1f26cec008abeb821bf9a00c189d38,26514d4366d12e701dae1a73fc47f74535519a86ac41dceee760e1bba51383f0,9cf15b6eec5d98f27c3453735cd922a14e22d97f42d207d8e7c27cb34eeacd5e
TRD007805,FR0000000114,2024-04-16,2024-04-18,derivative,1377539.92,34.4816,39950,34.4462,34.5887,34.51745,3907089,48.11,nr,0,technology,21.4,0,0,0,1,0,0,0,0,0,b529f7600e41e497182f7870990af3945f515807bc5fd28c6bcbd34485dc5bcb,3927c8f9af6ca5e06bf482897ff3f83d2dadb8c0094ee9671ff4ce64b2b0351e,514ac77a4966fbd19c75f018b26c7739b2466f589aad7495964acb12df8e80a5
TRD000969,FR0000000002,2024-02-19,2024-02-21,derivative,529208.98,44.7837,11817,44.7217,44.8466,44.78415,3727817,10.24,a,0,technology,22.1,0,0,0,0,0,0,0,0,0,b529f7600e41e497182f7870990af3945f515807bc5fd28c6bcbd34485dc5bcb,d067e379490cea7a30305b4977258ce4da1e4bddde10ccec9302e5291a71481d,514ac77a4966fbd19c75f018b26c7739b2466f589aad7495964acb12df8e80a5
TRD006484,FR0000000025,2024-03-11,2024-03-13,bond,2865969.25,85.1219,33669,85.0764,85.1918,85.1341,1492301,57.27,aa,0,technology,37.5,0,0,0,0,0,0,0,0,0,312b3c69d2e4a2539e63cf202232c4f1c2875efe66b1aa64568173b916916d4e,a2c8893aa5898d51858235187503e24f8d023251d39ead330cd7d63c450094db,cbda24d82bffdc989109b238b9dc824596cba5fa8b21fdc0b2c899c38b896aee
TRD000677,FR0000000032,2024-02-06,2024-02-08,derivative,1415456.28,47.6328,29716,47.5776,47.7623,47.66995,3475557,54.47,a,0,financials,40.3,0,0,0,0,0,0,0,0,0,f910def6426247ee203ac62a2113e30a0f15b621b0667db7df59f8002609f66c,3927c8f9af6ca5e06bf482897ff3f83d2dadb8c0094ee9671ff4ce64b2b0351e,4772c6c4b2e3a88e8065298a4e3ca0c9e02c4bf6e1642bffce0dac2c1bacafc3
TRD000999,FR0000000047,2024-01-15,2024-01-17,equity,1363053.3,127.2811,10709,127.22,127.3031,127.26155,2894857,36.74,aa,0,healthcare,10.3,0,0,0,0,0,0,0,0,0,f546dc9858b23194d1d7ced5ff7cd0fcf846b804981ca0f0d5c754890d5bf2e9,fb06d9cf4462b4526ffe0bce528af4a3c0a1df1c64f283cc09ba4b35a2152220,7e3d1dc029e2984c81053d0b089efcfeff87c6c823f851e8983e2bd001de4305
TRD007532,FR0000000128,2024-01-24,2024-01-26,equity,21351511.58,671.9806,31774,671.76,673.4824,672.6212,1258072,36.42,bbb,0,financials,68.3,0,0,1,0,0,0,0,0,0,cbb1e8f16bb21d047a3a35073bbd599f495d8c3a5edcd200c4bd1073d5b5821e,fb06d9cf4462b4526ffe0bce528af4a3c0a1df1c64f283cc09ba4b35a2152220,9fe1ba1b031a29982e2992062f1ca3cacc124dc22c4ec67efbe9110d37597406
TRD004117,FR0000000118,2024-06-14,2024-06-17,fx,32334.84,1.0326,31314,1.03088,1.0339,1.03239,2596901,45.51,bb,0,consumer discretionary,23.2,0,0,0,0,0,0,1,0,0,8656d2d7fd50be6f0d289026f8f61cae4d845c63fc57ff66edcedd0161abe29c,2c583c5e437aeb30a4b7e240da5fc09375afe5f1a64c13142f970b7ffe12b06a,78d35f103b100d7cfbfab46e7d523baa36ac51a136c69a18b7ada521c1496cb4
TRD003741,FR0000000022,2024-05-01,2024-05-03,derivative,566656.82,38.3576,14773,38.3418,38.377,38.3594,550143,16.99,a,0,healthcare,10.3,0,0,0,0,0,0,0,0,0,035771171635c17389acfd27c349523afb1170639a138e8552a195fe681faa06,761210ee2e9f1afa3b5bfa392cbb5ff5b316c5af8c5da7109fa281cf5782b966,b4fffea3bacbd22b3cefd257096f624f14efcee0dd8169a41de8cd68218f384d
TRD007544,FR0000000147,2024-02-29,2024-03-04,equity,6746519.54,465.3093,14499,465.06,465.9752,465.5176,2279766,45.51,a,0,industrials,18.1,0,0,0,0,0,0,1,0,0,f82dee6071f4464bbeb32cb5cf0d902e1bb247de1f2dbdb43d08d1184b00bc94,761210ee2e9f1afa3b5bfa392cbb5ff5b316c5af8c5da7109fa281cf5782b966,687e1de6f4f5a091cac44dd1c83d611e6107cb716643e3eefaf90d31b765c1ac
TRD007282,FR0000000071,2024-04-30,2024-05-02,fx,6647.1,1.2314,5398,1.229931,1.2327,1.231316,3917698,52.83,bbb,0,technology,57.5,0,0,0,0,0,0,0,0,0,50e3f0170f50790b0ca934ffac1698cc2a1f26cec008abeb821bf9a00c189d38,c3ceb27c17de4a6b0a59652c6e97db1d84697a31c19298a1a9f4e7dc7b72d18a,9cf15b6eec5d98f27c3453735cd922a14e22d97f42d207d8e7c27cb34eeacd5e
TRD002509,FR0000000080,2024-05-20,2024-05-22,bond,1414228.3,104.7887,13496,104.6494,104.8199,104.73465,1966404,64.45,aa,0,financials,17.9,0,0,0,0,0,0,0,0,0,6ba3aef6f74d87238d327c5acdc4a258a626050c05733937835d2b9e0c98893d,fb06d9cf4462b4526ffe0bce528af4a3c0a1df1c64f283cc09ba4b35a2152220,1dc0f52afc63d4704fec7eb1d3ad9b645230abc9c6ac56a548e1991c9def7529
TRD000361,FR0000000062,2024-04-19,2024-04-22,derivative,397445.86,14.6335,27160,14.5915,14.6476,14.61955,935736,20.04,b,1,industrials,7.8,0,0,0,0,0,0,0,0,0,cdfd0c25ff6b3986359e609239ade036ae7603bff3e28c691214ae4c00b5cf12,761210ee2e9f1afa3b5bfa392cbb5ff5b316c5af8c5da7109fa281cf5782b966,3c53042b6c9e396b93789b3d95014139171f0968131bd6d417169dae000b66f2
TRD002785,FR0000000124,2024-04-18,2024-04-22,derivative,166763.62,9.5479,17466,9.5367,9.5683,9.5525,3841971,22.36,nr,0,technology,25.3,0,0,0,1,0,0,0,0,0,b529f7600e41e497182f7870990af3945f515807bc5fd28c6bcbd34485dc5bcb,fb06d9cf4462b4526ffe0bce528af4a3c0a1df1c64f283cc09ba4b35a2152220,514ac77a4966fbd19c75f018b26c7739b2466f589aad7495964acb12df8e80a5
TRD000329,FR0000000136,2024-04-05,2024-04-08,fx,24168.43,0.9635,25084,0.96064,0.9646,0.96262,4842851,33.04,a,0,industrials,18.2,0,0,0,0,0,0,0,0,0,f82dee6071f4464bbeb32cb5cf0d902e1bb247de1f2dbdb43d08d1184b00bc94,3d6db0a7e29a5b4d7878381ab04413100ab26498e13c1e83b03d45dae9a468a1,687e1de6f4f5a091cac44dd1c83d611e6107cb716643e3eefaf90d31b765c1ac
TRD001336,FR0000000118,2024-06-25,2024-06-27,fx,44863.09,1.1271,39804,1.126587,1.1305,1.128544,3219330,66.71,nr,0,financials,24.5,0,0,0,1,0,0,0,0,0,6ba3aef6f74d87238d327c5acdc4a258a626050c05733937835d2b9e0c98893d,c3ceb27c17de4a6b0a59652c6e97db1d84697a31c19298a1a9f4e7dc7b72d18a,1dc0f52afc63d4704fec7eb1d3ad9b645230abc9c6ac56a548e1991c9def7529
TRD003947,FR0000000115,2024-06-24,2024-06-26,derivative,362616.12,20.9266,17328,20.8903,20.9542,20.92225,2535446,70.06,bbb,0,technology,53.5,0,0,0,0,0,0,0,0,0,50e3f0170f50790b0ca934ffac1698cc2a1f26cec008abeb821bf9a00c189d38,e655d471e4387d17cd12ca7b0bf6ca129a7d73d55cedf41b2fff576c266994cf,9cf15b6eec5d98f27c3453735cd922a14e22d97f42d207d8e7c27cb34eeacd5e
